                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.85079,                0.61932,                 1.2387,                0.95432,                0.65863,                 1.2995,                0.90304,                0.88036,                0.91032,                0.69095,                0.89078,                 0.5777,                 1.3431,                0.95714,                0.59225,                 1.4141,              0.0007328,              0.0007328,              0.0007328
                     35,                0.89828,                0.65312,                 1.2802,                0.99129,                0.67625,                 1.3262,                0.88815,                0.90864,                0.92021,                0.70799,                0.87169,                0.57683,                 1.3287,                0.93117,                0.58685,                 1.3687,              0.0006932,              0.0006932,              0.0006932
                     36,                0.87345,                0.61954,                 1.2372,                0.97646,                0.66099,                  1.285,                0.91371,                 0.8607,                0.91756,                0.68914,                0.87605,                0.58814,                 1.3338,                0.92652,                0.60892,                 1.3791,              0.0006536,              0.0006536,              0.0006536
                     37,                0.85153,                 0.6208,                 1.2309,                0.96465,                0.63893,                 1.2901,                0.92398,                0.87562,                0.91939,                 0.7037,                0.85475,                0.55645,                 1.3333,                0.90312,                0.57924,                 1.3729,               0.000614,               0.000614,               0.000614
                     38,                0.84139,                0.60231,                 1.2199,                0.94838,                0.64667,                 1.2667,                0.94038,                0.86327,                0.91432,                 0.7012,                0.87485,                0.56891,                 1.3364,                0.92153,                0.64455,                   1.38,              0.0005744,              0.0005744,              0.0005744
                     39,                0.87026,                0.62084,                 1.2449,                0.99053,                0.69425,                   1.31,                0.89427,                0.84577,                0.90865,                0.68941,                0.89405,                0.58212,                 1.3362,                0.93184,                0.63268,                 1.3769,              0.0005348,              0.0005348,              0.0005348
                     40,                0.82812,                0.58817,                 1.2332,                0.93487,                0.62758,                 1.2939,                 0.8717,                0.87888,                0.90917,                0.69834,                0.86973,                0.56378,                 1.3364,                0.92023,                0.60084,                 1.3863,              0.0004952,              0.0004952,              0.0004952
                     41,                0.73729,                0.48288,                 1.2072,                0.79391,                0.47632,                 1.2512,                0.90944,                 0.8607,                0.91785,                0.69809,                 0.8889,                 0.5407,                 1.3512,                0.95088,                0.61456,                 1.3973,              0.0004556,              0.0004556,              0.0004556
                     42,                0.72282,                0.46918,                 1.1945,                0.76478,                 0.4585,                 1.2307,                0.88052,                0.87065,                0.91087,                0.70335,                0.86227,                 0.5848,                  1.319,                 0.8948,                0.61537,                 1.3554,               0.000416,               0.000416,               0.000416
                     43,                0.73229,                 0.4669,                 1.2074,                0.78511,                0.46025,                 1.2552,                0.91691,                0.87845,                0.93161,                0.72591,                0.85163,                0.54962,                 1.3008,                0.89263,                0.56668,                 1.3283,              0.0003764,              0.0003764,              0.0003764
                     44,                 0.7022,                0.43574,                 1.1686,                0.74885,                0.41706,                 1.2112,                0.90628,                0.86601,                0.91681,                0.71413,                0.85975,                0.53064,                 1.3198,                0.90159,                0.57695,                 1.3478,              0.0003368,              0.0003368,              0.0003368
                     45,                0.70057,                0.44688,                 1.1838,                 0.7444,                0.41767,                 1.2098,                0.91876,                 0.8607,                 0.9154,                0.70984,                0.86669,                0.56738,                 1.3186,                0.91934,                0.57676,                 1.3554,              0.0002972,              0.0002972,              0.0002972
                     46,                0.68585,                 0.4315,                 1.1673,                0.72601,                0.40313,                 1.2112,                0.90566,                0.90751,                0.92473,                0.71985,                0.85054,                0.55134,                 1.3014,                0.90683,                0.58258,                 1.3383,              0.0002576,              0.0002576,              0.0002576
                     47,                0.69179,                0.43314,                 1.1822,                0.73288,                0.41008,                 1.2248,                0.91052,                0.85572,                0.91225,                0.70985,                 0.8538,                0.55174,                 1.3085,                0.89553,                0.59227,                 1.3512,               0.000218,               0.000218,               0.000218
                     48,                0.66616,                0.42245,                 1.1379,                0.72214,                0.38847,                 1.1834,                0.92695,                0.86567,                0.92178,                0.71925,                0.85676,                0.54857,                 1.3176,                0.89132,                0.57843,                 1.3411,              0.0001784,              0.0001784,              0.0001784
                     49,                0.66997,                0.42206,                 1.1532,                0.72146,                0.41104,                 1.2036,                0.91128,                0.86869,                0.91566,                0.71001,                0.85071,                0.56011,                 1.3111,                0.89369,                 0.5991,                 1.3535,              0.0001388,              0.0001388,              0.0001388
                     50,                0.68208,                0.39824,                 1.1799,                0.71744,                0.37548,                 1.2051,                0.93081,                0.87003,                0.92456,                0.71905,                0.85288,                0.55343,                 1.3129,                0.90122,                0.57684,                 1.3596,               9.92e-05,               9.92e-05,               9.92e-05
