                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1528,                0.79978,                0.38457,                 1.2154,                0.75349,                0.39261,                0.92666,                   0.88,                0.94033,                0.74319,                 1.9886,                  1.532,                0.50021,                 2.0252,                 1.7033,                0.50051,             0.00097336,             0.00097336,             0.00097336
                     35,                 1.1093,                 0.7279,                0.37206,                 1.1764,                0.66809,                0.37908,                0.92663,                0.87961,                0.92588,                0.72705,                 1.9785,                 1.5892,                0.50361,                 2.0286,                 1.8703,                0.50606,             0.00091971,             0.00091971,             0.00091971
                     36,                 1.0825,                0.70662,                0.37126,                 1.1488,                0.65664,                0.37715,                0.92721,                 0.8607,                0.93205,                0.73419,                 2.0019,                 1.5265,                0.50904,                 2.0235,                 1.7747,                0.50706,             0.00086607,             0.00086607,             0.00086607
                     37,                  1.191,                0.78689,                0.39101,                 1.2677,                0.76184,                0.39883,                0.92097,                0.89055,                0.93231,                0.73338,                 2.0268,                 1.5852,                 0.5168,                 2.0592,                 1.8322,                0.51408,             0.00081242,             0.00081242,             0.00081242
                     38,                 1.1213,                0.73112,                 0.3785,                 1.1995,                0.67155,                0.38571,                0.92111,                0.88557,                0.92927,                0.73511,                 2.0066,                 1.5517,                0.51059,                 2.0355,                 1.7751,                0.50927,             0.00075878,             0.00075878,             0.00075878
                     39,                 1.0928,                0.69113,                0.37595,                 1.1541,                0.65349,                0.38219,                0.93141,                 0.8806,                0.93083,                0.72878,                 2.0072,                 1.5711,                 0.5167,                 2.0795,                 1.7812,                 0.5177,             0.00070513,             0.00070513,             0.00070513
                     40,                 1.1385,                0.71783,                0.37871,                 1.2204,                0.63383,                0.38605,                0.91666,                0.88557,                 0.9345,                0.72912,                 2.0411,                  1.508,                0.51292,                 2.1055,                 1.7106,                0.51502,             0.00065149,             0.00065149,             0.00065149
                     41,                0.94574,                0.52231,                0.35025,                0.95909,                0.40017,                0.35169,                0.91239,                0.89055,                0.94118,                0.73759,                 1.9988,                 1.5226,                0.50634,                 2.0601,                 1.6666,                0.50744,             0.00059784,             0.00059784,             0.00059784
                     42,                0.88119,                0.50399,                   0.34,                0.89397,                0.37654,                0.34152,                0.89949,                0.89046,                 0.9213,                0.72398,                 2.0153,                  1.532,                0.51656,                 2.0815,                 1.8085,                 0.5169,              0.0005442,              0.0005442,              0.0005442
                     43,                0.89623,                 0.5026,                0.34298,                 0.9047,                0.38159,                0.34435,                0.89935,                0.89552,                0.93351,                0.73559,                 2.0072,                 1.5401,                0.51735,                 2.0671,                 1.7283,                0.51584,             0.00049055,             0.00049055,             0.00049055
                     44,                0.87234,                0.47858,                0.34398,                0.88502,                0.35379,                0.34503,                0.90646,                0.88557,                0.92771,                0.72963,                 1.9933,                 1.5347,                0.51137,                 2.0663,                 1.7667,                0.51341,             0.00043691,             0.00043691,             0.00043691
                     45,                 0.8753,                0.48778,                  0.341,                0.88638,                0.35208,                0.34243,                0.91169,                0.87312,                0.92723,                0.72733,                 2.0229,                  1.593,                0.51687,                 2.0827,                 1.8566,                0.51696,             0.00038326,             0.00038326,             0.00038326
                     46,                0.85621,                0.47309,                0.34458,                0.86435,                0.34293,                0.34379,                 0.9035,                0.88502,                0.92996,                0.73261,                 2.0194,                 1.6124,                0.51555,                 2.0555,                  1.871,                0.51345,             0.00032962,             0.00032962,             0.00032962
                     47,                0.83019,                 0.4871,                 0.3374,                0.83712,                0.36794,                0.33822,                0.89145,                 0.9005,                0.92427,                0.72432,                  2.015,                 1.6097,                0.51749,                 2.0588,                 1.8799,                0.51669,             0.00027597,             0.00027597,             0.00027597
                     48,                0.81591,                0.48471,                0.33703,                0.82072,                0.36956,                0.33851,                0.89072,                0.89055,                0.91847,                0.71951,                 1.9954,                 1.6033,                0.51419,                 2.0533,                 1.8738,                0.51394,             0.00022233,             0.00022233,             0.00022233
                     49,                0.83225,                 0.4716,                0.33555,                0.84404,                0.35918,                0.33719,                0.89099,                0.89464,                0.92065,                0.72369,                 2.0001,                 1.6022,                0.51459,                  2.049,                 1.9014,                0.51464,             0.00016868,             0.00016868,             0.00016868
                     50,                0.81918,                0.48755,                0.33348,                0.82836,                0.38238,                  0.335,                0.89209,                0.89552,                0.92699,                0.72911,                 2.0027,                 1.5877,                0.51471,                 2.0442,                 1.9031,                 0.5136,             0.00011504,             0.00011504,             0.00011504
